FIPS,County,State,FIPS_Year,Year,Total Population,Total Violent And Property Crimes Rate,Violent Crimes Rate,Violent Crimes Rate D,Property Crimes Rate,Property Crimes Rate D,Total Violent Crimes Rate: Rape Legacy Definition,Total Violent Crimes Rate: Murders And Nonnegligent Manslaughters Rate,Total Violent Crimes Rate: Rape Revised Definition Rate,Total Violent Crimes Rate: Rape Legacy Definition Rate,Total Violent Crimes Rate: Robberies Rate,Total Violent Crimes Rate: Aggravated Assaults Rate,Total Property Crimes Rate: Burglaries Rate,Total Property Crimes Rate: Larcenies Rate,Total Property Crimes Rate: Motor Vehicle Thefts Rate,Arsons Rate,Rape Legacy Definition Rate
1025,Clarke County,Alabama,01025_2017,2017,24847,527.2266,160.9852,3,366.2414,2,0,4.02463074,12.07389222,7.237935933,8.04926148,136.8374452,144.8867066,189.1576448,32.19704592,0,17.67650976
13233,Polk County,Georgia,13233_2013,2013,41177,0,0,1,0,1,0,0,0.027331946,0,0,0,0,0,0,0,18.00422219
13233,Polk County,Georgia,13233_2014,2014,41133,0,0,1,0,1,1.512160726,0,0.02062376,0,0,0,0,0,0,0,18.17334983
13233,Polk County,Georgia,13233_2015,2015,41524,0,0,1,0,1,1.516868002,0,0.028375643,0,0,0,0,0,0,0,18.17334663
13233,Polk County,Georgia,13233_2016,2016,41776,0,0,1,0,1,1.510198215,0,0.036180429,0,0,0,0,0,0,0,18.17228431
1029,Cleburne County,Alabama,01029_2017,2017,14991,947.235,40.02401,2,907.211,4,0,0,0,0,6.670669068,33.35334534,273.4974318,546.9948636,86.71869789,0,15.76547728
13233,Polk County,Georgia,13233_2018,2018,42470,0,0,1,0,1,1.625063456,0,0,0,0,0,0,0,0,0,18.18374634
13259,Stewart County,Georgia,13259_2014,2014,5744,69.63788301,0,1,69.63788301,1,1.100482441,0,0.020347273,0,0,0,34.8189415,34.8189415,0,0,18.35510959
13259,Stewart County,Georgia,13259_2015,2015,5851,153.8198599,0,1,153.8198599,1,0,0,0.003690308,0,0,0,17.09109554,119.6376688,17.09109554,0,17.34953036
13259,Stewart County,Georgia,13259_2016,2016,5705,52.58545136,0,1,52.58545136,1,0,0,0.02781278,0,0,0,0,35.05696757,17.52848379,1.209512814,17.43455302
13263,Talbot County,Georgia,13263_2014,2014,6390,1111.111111,0,1,1111.111111,5,0,0,0.127831684,0,0,0,672.9264476,406.885759,31.29890454,0,20.66519011
13283,Treutlen County,Georgia,13283_2015,2015,6785,884.3036109,0,1,884.3036109,4,0,0,0.015797256,0,0,0,250.5526898,589.5357406,44.21518055,0,17.13810566
1031,Coffee County,Alabama,01031_2017,2017,50991,315.742,45.106,2,270.636,2,0,3.922260791,9.805651978,5.091560997,3.922260791,27.45582554,90.2119982,151.0070405,29.41695593,0,17.32868302
13309,Wheeler County,Georgia,13309_2013,2013,7939,705.3785111,0,1,705.3785111,4,0,0,0,0,0,0,239.324852,340.0932107,125.9604484,0,14.41551149
13317,Wilkes County,Georgia,13317_2013,2013,9944,201.1263073,0,1,201.1263073,1,0,0,0.37071739,0,0,0,60.3378922,110.619469,30.1689461,20.11263073,18.50824363
1033,Colbert County,Alabama,01033_2017,2017,54377,597.6791,106.6627,3,491.0164,3,0,0,23.90716663,19.03295856,5.517038454,77.23853835,154.4770767,277.6909355,58.84841017,0,16.74149195
16023,Butte County,Idaho,16023_2016,2016,2501,119.9520192,0,1,119.9520192,1,3.33090653,0,0,0,0,0,0,119.9520192,0,0,18.2493898
16025,Camas County,Idaho,16025_2013,2013,1039,577.4783446,0,1,577.4783446,3,6.66999743,0,0,0,0,0,384.985563,192.4927815,0,0,21.0301236
16025,Camas County,Idaho,16025_2014,2014,1039,192.4927815,0,1,192.4927815,1,3.84037858,0,0,0,0,0,96.24639076,96.24639076,0,0,18.97486553
16025,Camas County,Idaho,16025_2015,2015,1066,1219.512195,0,1,1219.512195,5,0,0,0,0,0,0,375.2345216,750.4690432,93.80863039,0,15.87100082
