FIPS,School District Name,County Names,State,LEA,SchoolDigger Number of Stars Elementary,SchoolDigger Number of Stars High,SchoolDigger Number of Stars Middle,SchoolDigger Rank Elementary,SchoolDigger Rank High,SchoolDigger Rank Middle,SchoolDigger Rank Of Elementary,SchoolDigger Rank Of High,SchoolDigger Rank Of Middle,Number of All students,% White students,% Black students,% Asian students,% Hispanic students,% American Indian/Alaska Native students,% Hawaiian Native/Pacific Islander students,% students with Two or More Races,Total Student membership/Full-Time-Equvalent teachers,Number of Charter schools,% Students Receiving Free or DisNumbered Lunch,Number of Magnet schools,Number of Virtual schools
4101590,Ashwood School District 8,Jefferson County,Oregon,1590,,,,,,,,,,6,100,0,0,0,0,0,0,6,0,0,0,0
4104170,Diamond School District 7,Harney County,Oregon,4170,,,,,,,,,,6,100,0,0,0,0,0,0,4,0,0,0,0
4104290,Double O School District 28,Harney County,Oregon,4290,,,,,,,,,,3,100,0,0,0,0,0,0,3,0,0,0,0
4104380,Drewsey School District 13,Harney County,Oregon,4380,,,,,,,,,,8,100,0,0,0,0,0,0,8,0,0,0,0
4106960,Juntura School District 12,Malheur County,Oregon,6960,,,,,,,,,,1,100,0,0,0,0,0,0,1.1,0,0,0,0
4109690,Pine Creek School District 5,Harney County,Oregon,9690,,,,,,,,,,9,100,0,0,0,0,0,0,9,0,0,0,0
4109960,Plush School District 18,Lake County,Oregon,9960,,,,,,,,,,3,100,0,0,0,0,0,0,3,0,0,0,0
5308430,Stehekin School District,Chelan County,Washington,8430,,,,,,,,,,6,100,0,0,0,0,0,0,5.9,0,0,0,0
615990,Green Point Elementary School District,Humboldt County,California,15990,,,,,,,,,,14,100,0,0,0,0,0,0,9.3,0,0,0,0
639750,Trinity Center Elementary School District,Trinity County,California,39750,,,,,,,,,,12,100,0,0,0,0,0,0,12,0,0,0,0
804890,Karval School District RE-23,Lincoln County,Colorado,4890,,,,,,,,,,42,100,0,0,0,0,0,0,5.85,0,0,0,0
1737020,Spring Lake Community Consolidated School District,Tazewell County,Illinois,37020,,,,,,,,,,51,100,0,0,0,0,0,0,10.2,0,0,0,0
2302500,Airline Community School District,Hancock County,Maine,2500,,,,,,,,,,34,100,0,0,0,0,0,0,7.3,0,0,0,0
2314823,Andover Public Schools,Oxford County,Maine,14823,,,,,,,,,,21,100,0,0,0,0,0,0,4.5,0,0,0,0
2314771,Chebeague Island,Cumberland County,Maine,14771,,,,,,,,,,26,100,0,0,0,0,0,0,7,0,0,0,0
2304620,Cranberry Isles,Hancock County,Maine,4620,,,,,,,,,,12,100,0,0,0,0,0,0,4.4,0,0,0,0
2305380,East Range Community School District,Washington County,Maine,5380,,,,,,,,,,26,100,0,0,0,0,0,0,8.3,0,0,0,0
2300008,Fayette,Kennebec County,Maine,8,,,,,,,,,,74,100,0,0,0,0,0,0,12.5,0,0,0,0
2310830,School Administrative District 19,Washington County,Maine,10830,,,,,,,,,,71,100,0,0,0,0,0,0,8.2,0,0,0,0
2312360,Southport,Lincoln County,Maine,12360,,,,,,,,,,26,100,0,0,0,0,0,0,10.4,0,0,0,0
2605100,Berlin Township School District 3,Ionia County,Michigan,5100,,,,,,,,,,9,100,0,0,0,0,0,0,6.7,0,0,0,0
2612660,Easton Township School District 6,Ionia County,Michigan,12660,,,,,,,,,,21,100,0,0,0,0,0,0,9,0,0,0,0
2600011,Sigel Township School District 4F,Huron County,Michigan,11,,,,,,,,,,34,100,0,0,0,0,0,0,34,0,0,0,0
2906450,Cainsville R-I School District,Harrison County,Missouri,6450,,,,,,,,,,63,100,0,0,0,0,0,0,4.55,0,0,0,0
2906450,Cainsville R-I School District,Mercer County,Missouri,6450,,,,,,,,,,63,100,0,0,0,0,0,0,4.55,0,0,0,0
2910230,Cowgill R-VI School District,Caldwell County,Missouri,10230,,,,,,,,,,54,100,0,0,0,0,0,0,9.1,0,0,0,0
2910470,Davis R-XII School District,Henry County,Missouri,10470,,,,,,,,,,32,100,0,0,0,0,0,0,5.7,0,0,0,0
2915240,Hudson R-IX School District,Bates County,Missouri,15240,,,,,,,,,,51,100,0,0,0,0,0,0,8.7,0,0,0,0
2917910,Laredo R-VII School District,Grundy County,Missouri,17910,,,,,,,,,,42,100,0,0,0,0,0,0,5.2,0,0,0,0
2920880,Middle Grove C-1 School District,Audrain County,Missouri,20880,,,,,,,,,,33,100,0,0,0,0,0,0,6,0,0,0,0
2920880,Middle Grove C-1 School District,Monroe County,Missouri,20880,,,,,,,,,,33,100,0,0,0,0,0,0,6,0,0,0,0
2921060,Missouri City 56 School District,Clay County,Missouri,21060,,,,,,,,,,19,100,0,0,0,0,0,0,5,0,0,0,0
2921180,Moniteau County R-V School District,Moniteau County,Missouri,21180,,,,,,,,,,56,100,0,0,0,0,0,0,7.5,0,0,0,0
2921180,Moniteau County R-V School District,Morgan County,Missouri,21180,,,,,,,,,,56,100,0,0,0,0,0,0,7.5,0,0,0,0
2922110,New York R-IV School District,Caldwell County,Missouri,22110,,,,,,,,,,21,100,0,0,0,0,0,0,5.2,0,0,0,0
2912480,Strain-Japan R-XVI School District,Crawford County,Missouri,12480,,,,,,,,,,65,100,0,0,0,0,0,0,7.7,0,0,0,0
2912480,Strain-Japan R-XVI School District,Franklin County,Missouri,12480,,,,,,,,,,65,100,0,0,0,0,0,0,7.7,0,0,0,0
2912480,Strain-Japan R-XVI School District,Gasconade County,Missouri,12480,,,,,,,,,,65,100,0,0,0,0,0,0,7.7,0,0,0,0
2923370,Thornfield R-I School District,Ozark County,Missouri,23370,,,,,,,,,,53,100,0,0,0,0,0,0,6.9,0,0,0,0
3002490,Auchard Creek Elementary School District,Lewis and Clark County,Montana,2490,,,,,,,,,,10,100,0,0,0,0,0,0,10.2,0,0,0,0
3012270,Geyser Elementary School District,Judith Basin County,Montana,12270,,,,,,,,,,19,100,0,0,0,0,0,0,3.35,0,0,0,0
3012990,Grass Range High School District,Fergus County,Montana,12990,,,,,,,,,,18,100,0,0,0,0,0,0,5.2,0,0,0,0
